Date,Name,Address,City,State,Zip,Purpose,Amount
2020-01-10,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,3485.46
2020-01-10,United Automobile Insurance Company,1313 N.W. 167th Street,Miami Gardens,FL,33169,transportation,1980.00
2020-01-14,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,1550.00
2020-01-16,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,400.30
2020-01-22,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,2328.95
2020-01-28,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,1401.50
2020-01-31,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,1350.00
2020-02-03,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,400.90
2020-02-14,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-02-20,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,1833.00
2020-03-03,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,postage/travel,1210.54
2020-03-09,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-03-12,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,1901.20
2020-03-13,McKenzie Sanders,2463 Tippecanoe Ridge,Tallahassee,FL,32303,travel,405.48
2020-03-18,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,1379.70
2020-04-03,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,400.30
2020-04-10,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,postage/food & beverage,481.63
2020-04-10,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-04-14,United States Treasury,Internal Revenue Service Center,Ogden,UT,84201,income taxes,142.00
2020-04-16,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,1264.85
2020-05-06,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-05-21,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,1200.50
2020-06-02,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-06-17,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,2405.00
2020-07-01,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-07-28,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,323.50
2020-07-31,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,1350.00
2020-08-04,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-08-13,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,348.50
2020-09-03,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-09-28,Anedot,P. O. Box 84314,Baton Rouge,LA,70884,credit card fees,200.30
2020-09-30,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,402.00
2020-10-06,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-10-26,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,20.30
2020-11-03,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-11-05,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,1350.00
2020-11-19,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,1528.50
2020-11-30,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,783.00
2020-12-04,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,8750.00
2020-12-04,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,3827.87
2020-12-14,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,829.00
2020-12-15,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,400.30
2020-12-22,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,291.21
2020-12-31,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,32500.00
2021-01-29,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,1350.00
